ace (in cards or dice),as/,
asbestos,asbest/,
insure,asekur/,
assembly (legislative),asemble/,
assert,asert/,
assessor,asesor/,
asphalt,asfalt/,
assign,asign/,
assimilate,asimil/,
assist (officially),asist/,
association,asoci/,
assonance (in verse),asonanc/,
asparagus,asparag/,
appear to be,aspekt/,
sprinkle,asperg/,
asp (snake),aspid/,
aspire,aspir/,
aspirin,aspirin/,
asthma,astm/,
heavenly body,astr/,
astrologer,astrolog/,
astrology,astrologi/,
astronomer,astronom/,
astronomy,astronomi/,
ending of present passive participle,at/,sufikso
attack,atak/,
"atavism, resemblance to ancestors",atavism/,
atheism,ateism/,
atheist,ateist/,
"make a criminal attempt against, assault",atenc/,
"wait, expect",atend/,
attentive,atent/,
"attest, witness to, testify, certify",atest/,
"attain, reach",ating/,
Atlantic,Atlantik/,
"satin, glossy silk fabric",atlas/,ŝtofo
"atlas, collection of maps",atlas/,maparo
athlete,atlet/,
atmosphere,atmosfer/,
atom,atom/,
"attribute, ascribe, assign",atribu/,
"attribute, essential characteristic",atribut/,
orach (plant),atripl/,
trump (cards),atut/,
or,aŭ,
hear,aŭd/,
"audacious, bold, daring",aŭdac/,
audience,aŭdienc/,
auditorium,aŭditori/,
"fortell by omens, forbode",aŭgur/,
August,Aŭgust/,monatnomo
(man\'s name),Aŭgust/,vira nomo
auction,aŭkci/,
"aureola, halo, glory, nimbus",aŭreol/,
listen,aŭskult/,
Australia,Aŭstrali/,
automobile,aŭt/,
authentic,aŭtentik/,
autobiography,aŭtobiografi/,
bus (vehicle),aŭtobus/,
autograph,aŭtograf/,
"autocrat, absolute ruler",aŭtokrat/,
"autocracy, absolute government",aŭtokrati/,
automaton; automatic,aŭtomat/,
automobile,aŭtomobil/,
autonomous,aŭtonom/,
author,aŭtor/,
authority,aŭtoritat/,
"autumn, fall",aŭtun/,
grandfather,av/,
advantage,avantaĝ/,
"greedy, avaricious",avar/,
hazelnut,avel/,
oats,aven/,
adventure,aventur/,
"avenue, wide tree-lined path to a house",avenu/,
"warn, caution",avert/,
aviation,aviad/,
"greedy, eager, hungry for",avid/,
"a notice, notification, announcement",aviz/,
avocado,avokad/,
"ass, donkey",azen/,
Asia,Azi/,
"asylum, place of refuge or safety",azil/,
nitrogen,azot/,
"chatter, babble",babil/,
bacillus (rod-shaped bacterium),bacil/,
"trifle, something neglibible",bagatel/,
bayonet,bajonet/,
bake,bak/,
bacterium,bakteri/,
"ball, dance",bal/,
"sweep, clean with a broom",bala/,
ballad,balad/,
"rock, swing",balanc/,
ballast,balast/,
"stammer, stutter",balbut/,
"hanging canopy (over a bed, throne, etc.)",baldaken/,
soon,baldaŭ,
whale,balen/,
ballet,balet/,
"ballistics, science of projectiles",balistik/,
balcony,balkon/,
balloon,balon/,
"vote by ballot, secret vot",balot/,
"banisters (of a staircase, etc.), handrail",balustrad/,
balsam (substance),balzam/,
balsam (plant),balzamin/,
bamboo,bambu/,
bathe,ban/,
"banal, commonplace, trite",banal/,
banana,banan/,
"band, gang, group of people",band/,
bandage,bandaĝ/,
"ribbon-like scroll, band, streamer",banderol/,
"bandit, outlaw",bandit/,
bank (firm or building),bank/,
banquet,banked/,
banker,bankier/,
bankrupt,bankrot/,
"knot, bow (of a ribbon, etc.)",bant/,
baptize,bapt/,
"bar, obstruct",bar/,
barracks,barak/,
"struggle against, contend with, grapple with",barakt/,
beard,barb/,
barbarian,barbar/,
barber,barbir/,
borsch (Russian beet-root soup),barĉ/,
bard (poet),bard/,
"keg, barrel, cask",barel/,
bas-relief (low-relief sculpture),barelief/,
barrier,barier/,
barricade,barikad/,
baritone (singing voice),bariton/,
bark (small sailing ship),bark/,
barometer,barometr/,
baron,baron/,
bass (singing voice),bas/,
basin (wide space for water),basen/,
basque (a tight-fitting bodice for women),bask/,
"rocker, see-saw",baskul/,
"bast, inner bark (of a tree)",bast/,
bastard,bastard/,
"bastion, bulwark, defense stronghold (military)",bastion/,
"stick, staff",baston/,
"beat, strike",bat/,
"do battle, fight",batal/,
battalion,batalion/,
battery (military or electrical),bateri/,
batiste (type of fabric),batist/,
"base, basis, starting point",baz/,
basalt (rock),bazalt/,
"bazaar, oriental marketplace",bazar/,
basilica (type of building),bazilik/,
basilisk (type of lizard),bazilisk/,
"baby, babe",beb/,
bed (garden),bed/,
"regret, be sorry for",bedaŭr/,
"beak, bill (of a bird)",bek/,
beautiful,bel/,
belladonna (plant),beladon/,
belles-lettres,beletr/,
"belles-lettres, literary works",beletristik/,
Belgian (people),Belg/,
flat (music),bemol/,
bless,ben/,
"band, tape, ribbon",bend/,
bench,benk/,
gasoline,benzin/,
berry,ber/,
beryl (mineral),beril/,
Berlin,Berlin/,
Bertha,Bert/,
"animal, beast",best/,
beet,bet/,
concrete,beton/,
birch (tree),betul/,
"need, require",bezon/,
Bible,Bibli/,
bibliographer,bibliograf/,
bibliography,bibliografi/,
library,bibliotek/,
bicycle,bicikl/,
"estate, grounds",bien/,
"beer, ale",bier/,
beef-steak,bifstek/,
"bigoted, intolerant, narrow-minded",bigot/,
balance (accounting),bilanc/,
billiards,bilard/,
picture,bild/,
ticket,bilet/,
"bind (books, etc.)",bind/,
binoculars,binokl/,
biographer,biograf/,
biography,biografi/,
biologist,biolog/,
biology,biologi/,
bird,bird/,
biretta (clerical cap),biret/,
Burmese (people),Birm/,
encore (interjection),bis,
cracker,biskvit/,
bismuth,bismut/,
small slender knife (surgical),bisturi/,
bit (computing); *bitoko*=byte,bit/,
bitumen (substance),bitum/,
"bivouac, encampment",bivak/,
bison,bizon/,
white,blank/,
blaspheme,blasfem/,
cockroach,blat/,
"coat of arms, heraldic shield",blazon/,
sound made by an animal,blek/,
"blind, sightless",blind/,
"block, boulder, chunk",blok/,
blockade,blokad/,
"blonde, fair",blond/,
"blow (as the wind, etc.)",blov/,
blue,blu/,
bluff (verb),bluf/,
blouse,bluz/,
relation by marriage,bo/,prefikso
"name of the letter \""b\""",bo,liternomo
boa (snake),boa/,
reindeer,boac/,
boat,boat/,
"bobbin, spool",boben/,
bark (dog\'s),boj/,
boycott,bojkot/,
"box, spar (as in boxing)",boks/,
"boil, bubble up (as water)",bol/,
Bolivia,Bolivi/,
bomb,bomb/,
bombard,bombard/,
"bombast, pretentious inflated talk or writing",bombast/,
"a sweet, confection, bonbon",bombon/,
good,bon/,
"bore, drill, burrow; boron",bor/,
borax (chemical),boraks/,
"border, boundary, shore",bord/,
brothel,bordel/,
"border, edge, fringe",border/,
stock exchange,bors/,
"grove (of trees, etc.)",bosk/,
boot,bot/,
botany,botanik/,
bottle,botel/,
ox,bov/,
"bowl, large basin",bovl/,
bracelet,bracelet/,
sloth (animal),bradip/,
arm,brak/,
bream (type of fish),bram/,
Brahman (Hindu priest),braman/,
bran,bran/,
branch (of a tree),branĉ/,
brandy,brand/,
gill (of a fish),brank/,
cabbage,brasik/,
"capable, worthy, valiant",brav/,
Brazil,Brazil/,
"breach, gap, opening",breĉ/,
"breed, propogate, raise",bred/,
"brake (of an automobile, etc.)",brems/,
shelf,bret/,
bridle (as for a horse),brid/,
brigade (military),brigad/,
"brick, ingot",brik/,
shine,bril/,
a faceted gem,briliant/,
Brit (resident of Britain),brit/,
"broach, ornamental pin",broĉ/,
embroider,brod/,
scald,brog/,
"deal in used goods, barter",brokant/,
broccoli,brokol/,
bromine (chemical),brom/,
bronchial tube,bronk/,
bronchitis,bronkit/,
bronze,bronz/,
brush,bros/,
brochure,broŝur/,
eyebrow,brov/,
noise,bru/,
"burn, be on fire",brul/,
brown,brun/,
"breast, chest",brust/,
"brute, beast",brut/,
"boy, lad, urchin",bub/,
buffalo (of India),bubal/,
"butcher, slaughter",buĉ/,
"booth, kiosk",bud/,
"budget, estimate",budĝet/,
"boudoir, lady\'s small private room",buduar/,
toad,buf/,
buffet,bufed/,
"budget, estimate",buĝet/,
"buckle, clasp",buk/,
bouquet,buked/,
"curl, lock, wisp (as of hair)",bukl/,
box (type of tree),buks/,
"lump, clod, ball",bul/,
bulb (as of a plant),bulb/,
Bulgarian (people),Bulgar/,
"bouillon, broth",buljon/,
roll (bread),bulk/,
Boulogne (French city name),Bulonj/,
bulletin,bulten/,
"boulevard, wide tree-lined street",bulvard/,
bumblebee,burd/,
"citizen, freeman, commoner",burĝ/,
bud (of a plant),burĝon/,
burlesque,burlesk/,
hooded Arabian cloak,burnus/,
bureaucrat,burokrat/,
bust (anatomy),bust/,
mouth,buŝ/,
bushel,buŝel/,
butter,buter/,
"small shop, boutique",butik/,
button,buton/,
czar,car/,
"yield, give up",ced/,
cedar (tree),cedr/,
"cornflower, bachelor\'s button (plant)",cejan/,
"aim, goal",cel/,
celery,celeri/,
cellulose,celuloz/,
cement,cement/,
cent (money),cend/,
hundred,cent,
centigram,centigram/,
centiliter,centilitr/,
centimo (money),centim/,
centimeter,centimetr/,
"center, middle",centr/,
"central (station, etc.)",central/,
centralize,centraliz/,
censor,cenzur/,
onion,cep/,
ceramics,ceramik/,
brain,cerb/,
ceremony,ceremoni/,
"certain, sure",cert/,
deer,cerv/,
"rest, remainder",ceter/,
thou,ci,
nipple,cic/,
"quince, fruit of the quince tree",cidoni/,
cider,cidr/,
"cipher, digit, numerical figure",cifer/,
gypsy,cigan/,
cigar,cigar/,
cigarette,cigared/,
swan,cign/,
cicada (insect),cikad/,
scar,cikatr/,
"cycle, recurrent period of events",cikl/,
cyclone,ciklon/,
cyclops,ciklop/,
stork,cikoni/,
chicory (plant),cikori/,
cowbane (plant),cikut/,
cylinder,cilindr/,
bed bug (insect),cim/,
cymbal,cimbal/,
cinnabar (mineral),cinabr/,
cinnamon,cinam/,
"ash, cinder",cindr/,
cynic,cinik/,
cypress,cipres/,
"polish, polishing wax (for floors, shoes, etc.)",cir/,
circus,cirk/,
compass (instrument for drawing circles),cirkel/,
circle,cirkl/,
circumstance,cirkonstanc/,
"circulate, flow around",cirkul/,
"circular (letter, notice, etc.)",cirkuler/,
circumcise,cirkumcid/,
circumflex (\^),cirkumfleks/,
circuit (e.g. electrical),cirkvit/,
"cistern, reservoir, tank",cistern/,
"cite, quote, name",cit/,
"citadel, fortress guarding a city",citadel/,
cither (musical instrument),citr/,
lemon,citron/,
"civil, civilian",civil/,
civilize,civiliz/,
civilization,civilizaci/,
city,civit/,
"name of the letter \""c\""",co,liternomo
inch,col/,
"afflict, distress; vex, annoy",ĉagren/,
chamoise (a goat-like antelope),ĉam/,
chamberlain,ĉambelan/,
"room, chamber",ĉambr/,
champagne,ĉampan/,
champion,ĉampion/,
cock (of a gun),ĉan/,
"cap, bonnet",ĉap/,
hat,ĉapel/,
chapter (of a book),ĉapitr/,
"cart, wagon",ĉar/,
"because, for, since",ĉar,
charlatan,ĉarlatan/,
charming,ĉarm/,
hinge,ĉarnir/,
do carpenter\'s work,ĉarpent/,
"lint, soft cotton material for a wound",ĉarpi/,
"chase, hunt, pursue",ĉas/,
chassis,ĉasi/,
chaste,ĉast/,
at,ĉe,
"chief (adj.), head",ĉef/,prefikso
check (for money),ĉek/,
"cell, compartment",ĉel/,
shirt,ĉemiz/,
chain,ĉen/,
cherry,ĉeriz/,
coffin,ĉerk/,
"draw (water, etc.)",ĉerp/,
"cease, desist",ĉes/,
horse,ĉeval/,
"rafter, beam",ĉevron/,
denotes proximity,ĉi,
"every, every kind of",ĉia,
for every reason,ĉial,
always,ĉiam,
everywhere,ĉie,
"sky, heaven",ĉiel/,
in every manner,ĉiel,
everyone\'s,ĉies,
"crease, crumple, rumple, wrinkle",ĉif/,
"rag, tatter, scrap, shred",ĉifon/,
"cipher, code, secret writing",ĉifr/,
"quibble, haggle over",ĉikan/,
chimpanzee,ĉimpanz/,
inhabitant of China,ĉin/,
everything,ĉio,
"all, the whole quantity",ĉiom,
around,ĉirkaŭ,
"each, every one",ĉiu,
"chisel, carve",ĉiz/,
affectionate diminutive of masculine names,ĉj/,sufikso
"name of the letter \""ĉ\""",ĉo,liternomo
chocolate,ĉokolad/,
whether,ĉu,
"is used instead of \""de\"" after words expressing weight or",da,
date (fruit),daktil/,
dahlia (plant),dali/,
king (in checkers); queen (in chess or cards),dam/,
damask (type of fabric),damask/,
Danish (people),Dan/,
dance,danc/,
"dandy, a man who gives exaggerated attention to dress",dand/,
danger,danĝer/,
thank,dank/,
date,dat/,
dative,dativ/,
datura (plant),datur/,
continue,daŭr/,
"of, from",de,
"debate, discuss formally",debat/,
"debit, to charge against",debet/,
"be fitting, proper",dec/,
December,Decembr/,
decide,decid/,
decigram,decigram/,
deciliter,decilitr/,
"decimal, base 10",decimal/,
decimeter,decimetr/,
decipher,deĉifr/,
dedicate,dediĉ/,
deduce,dedukt/,
defend,defend/,
defy; challenge,defi/,
deficit,deficit/,
definitive,definitiv/,
"thaw, melt away",degel/,
degenerate,degener/,
degrade,degrad/,
be on duty,deĵor/,
ten,dek,
decadence,dekadenc/,
dekagram,dekagram/,
dekaliter,dekalitr/,
dekameter,dekametr/,
dean (eccesiastical or of a college),dekan/,
"declaim, speak rhetorically",deklam/,
"declare, make known",deklar/,
"declaration, announcement, proclamation",deklaraci/,
decline (grammer),deklinaci/,
"declivity, slope, slant",dekliv/,
"expose neck and shoulders, low-cut",dekolt/,
"decorate, embellish",dekoraci/,
"decree, enactment, fiat",dekret/,
right-hand,dekstr/,
"delegate, authorize as agent",deleg/,
delegation,delegaci/,
dolphin,delfen/,
delicate,delikat/,
"be delirious, rave",delir/,
delta,delt/,
"demagogue, agitator",demagog/,
"demagogy, make false claims to gain power",demagogi/,
"ask (a question), enquire",demand/,
demography; demographics,demografi/,
"democrat, an adherent of democracy",demokrat/,
democracy,demokrati/,
demon,demon/,
make a demonstration by public meeting,demonstraci/,
demonstrative,demonstrativ/,
denarius (Roman coin),denar/,
dense,dens/,
tooth,dent/,
"denounce, accuse, inform against",denunc/,
department,departement/,
"dispatch, offical communication, urgent message",depeŝ/,
"deposit, entrust, store",depon/,
"depute, appoint as a substitute or representative",deput/,
derive,deriv/,
the (ju...des = the...the),des,
"design, depict, draw",desegn/,
dessert,desert/,
"despot, absolute or tyrannical ruler",despot/,
destine; destiny; destination,destin/,
"detail, minutia",detal/,
detective,detektiv/,
"determine, ascertain precisely",determin/,
destroy,detru/,
"duty, obligation; ought, must",dev/,
"device, emblematic or heraldic design",deviz/,
desert,dezert/,
"desire, want, wish for",dezir/,
God,Di/,
diabetes,diabet/,
devil,diabl/,
"diadem, crown",diadem/,
"diaphanous, semi-transparent, translucent",diafan/,
diaphram,diafragm/,
diagnose,diagnoz/,
diagonal,diagonal/,
deacon,diakon/,
dialect,dialekt/,
dialectic (reasoning by dialog),dialektik/,
dialog,dialog/,
diamond,diamant/,
diameter,diametr/,
pink,diant/,
diapason (standard pitch in music),diapazon/,
"live in debauchery, excess",diboĉ/,
"didactic, meant to instruct",didaktik/,
opossum,didelf/,
sharp (music),dies/,
"diet, habitual food",diet/,
"damage, injure",difekt/,
differ,diferenc/,
define,difin/,
diphtheria,difteri/,
diphtheria,difterit/,
diphthong,diftong/,
"dike, dam, levee, embankment",dig/,
digest,digest/,
dignity,dign/,
"thick, fat, stout",dik/,
dictate,dikt/,
dictator,diktator/,
dilemma,dilem/,
"dilettante, dabbler",diletant/,
diligent,diligent/,
"deluge, great flood",diluv/,
Sunday,dimanĉ/,
dimension,dimensi/,
dynamics,dinamik/,
dynamite,dinamit/,
dynamometer,dinamometr/,
dynasty,dinasti/,
diploma,diplom/,
diplomat,diplomat/,
diplomacy,diplomati/,
say,dir/,
"direct, steer",direkt/,
director,direktor/,
denotes separation,dis/,prefikso
"discipline, rules for conduct",disciplin/,
disciple,disĉipl/,
dysentery,disenteri/,
disk,disk/,
"discount, rebate, deduction",diskont/,
"discreet, cautious",diskret/,
"discriminate (by race, etc.)",diskriminaci/,
"discuss, debate, deliberate",diskut/,
indigestion,dispepsi/,
have available (at one\'s disposal),dispon/,
dispute,disput/,
distance,distanc/,
distil,distil/,
"distinguish, differentiate",disting/,
"distract, divert",distr/,
"distribute, give out, dispense, issue",distribu/,
district,distrikt/,
"dithyramb; inflated vehement writing, speech or verse",ditiramb/,
oriental council; ottoman,divan/,
"divine, guess, conjecture",diven/,
"various, diverse",divers/,
"divide, separate, break up",divid/,
division (military),divizi/,
desert (military),dizert/,
"then, indeed, however",do,
"name of the letter \""d\""",do,liternomo
mastiff (type of dog),dog/,
customs (as in traveling from one country to another),dogan/,
"dogma, principle, tenet",dogm/,
dock (place for ships),dok/,
doctor (title),doktor/,
doctrine,doktrin/,
"document, written statement",dokument/,
dollar,dolar/,
sweet,dolĉ/,
pain,dolor/,
house,dom/,
wish to keep intact or unspoiled; fear to damage,domaĝ/,
domino,domen/,
give,don/,
donate,donac/,
"spoil, pamper, over-indulge",dorlot/,
sleep,dorm/,
thorn,dorn/,
back (anatomy),dors/,
dowry,dot/,
dose (as of medicine),doz/,
dragoon (military),dragon/,
dragon,drak/,
drachma (money),drakm/,
drama,dram/,
woolen cloth,drap/,
"drape, hang cloth over",drapir/,
drastic,drast/,
thresh (grain),draŝ/,
wire,drat/,
train (person or animal),dres/,
drink (alcohol) to excess,drink/,
drift,driv/,
"drug, medical substance",drog/,
dromedary (Arabian camel),dromedar/,
drown,dron/,
two,du,
dualism,dualism/,
doubt,dub/,
"duel, contest",duel/,
duet,duet/,
duke,duk/,
ducat (type of coin),dukat/,
while,dum,
"employ, hire, engage",dung/,
douche,duŝ/,
ending of adverbs,-e,finaĵo
"name of the letter \""e\""",e,liternomo
"even, level",eben/,
"able, possible",ebl/,sufikso
ebony (wood),ebon/,
"drunk, intoxicated",ebri/,
ivory,ebur/,
denotes qualities,ec/,sufikso
even (adv.),eĉ,
Eden,Eden/,
"edify, benefit spiritually",edif/,
"edict, proclamation by authority",edikt/,
educate,eduk/,
husband,edz/,
"effect, strong impression",efekt/,
"real, actual",efektiv/,
"may-fly (insect); ephemeral, short-lived",efemer/,
"have effect upon, be effective",efik/,
denotes increase of degree,eg/,sufikso
equal,egal/,
"aegis, shield, protection",egid/,
"egoism, self-interest",egoism/,
"egoist, adherent of egoism",egoist/,
echo,eĥ/,
place where an action occurs,ej/,sufikso
denotes a sudden or momentary action,ek/,prefikso
"equip, furnish",ekip/,
"church, body of believers",eklezi/,
eclipse,eklips/,
"eclogue, short pastoral poem",eklog/,
ecology,ekologi/,
economy,ekonomi/,
"(a) screen, guard, shield",ekran/,
"ex-, late",eks/,prefikso
Excellency (title),ekscelenc/,
"excess, intemperance",eksces/,
excite,ekscit/,
exclusive,ekskluziv/,
excommunicate,ekskomunik/,
excrement,ekskrement/,
excursion,ekskurs/,
"dispatch, forward, send off",eksped/,
experiment,eksperiment/,
explode,eksplod/,
exploit,ekspluat/,
export,eksport/,
exhibition,ekspozici/,
"express, very rapid, for special purpose",ekspres/,
"ecstacy, delight, rapture",ekstaz/,
"outside, out of",ekster,
exterminate,eksterm/,
"extra, additional",ekstr/,
extract,ekstrakt/,
extreme,ekstrem/,
"equation, formula",ekvaci/,
Ecuador,Ekvador/,
equator,ekvator/,
equilibrium,ekvilibr/,
"exact, precise",ekzakt/,
"examine, test",ekzamen/,
"execute, put to death",ekzekut/,
eczema,ekzem/,
example,ekzempl/,
"copy (of a book, etc.)",ekzempler/,
"exercise, practice (vb.)",ekzerc/,
"exile, banish",ekzil/,
exist,ekzist/,
"from, out from",el,
elastic,elast/,
elephant,elefant/,
elegant,elegant/,
"elegy, song of lamentation",elegi/,
"elect, choose",elekt/,
